TEAM,SEED,Region,prob_r32,prob_r16,prob_r8,prob_r4,prob_r2,prob_win
Michigan,1,Midwest,1.00000000,1.00000000,0.78623915,0.49746082,0.30088481,0.19708630
Arizona,1,West,1.00000000,0.84802758,0.64597997,0.35570927,0.26493628,0.18097571
Duke,1,East,1.00000000,1.00000000,0.69079288,0.42286556,0.23987542,0.15339050
Florida,1,South,1.00000000,0.64853687,0.55128782,0.27560836,0.14495266,0.08855745
Houston,2,South,1.00000000,1.00000000,0.57780157,0.33219982,0.15656786,0.07906915
Purdue,2,West,1.00000000,1.00000000,0.74702691,0.28280844,0.14079784,0.05930186
Iowa State,2,Midwest,1.00000000,1.00000000,0.65840888,0.29729234,0.11798190,0.04677330
Illinois,3,South,1.00000000,1.00000000,0.42219843,0.18554877,0.11461707,0.04487708
Michigan State,3,East,1.00000000,1.00000000,0.34575167,0.11738719,0.07149136,0.02678149
UConn,2,East,1.00000000,0.63296878,0.52968839,0.18759904,0.06951042,0.02678149
St. John's,5,East,1.00000000,1.00000000,0.30920712,0.24777649,0.10934817,0.02389140
Arkansas,4,West,1.00000000,1.00000000,0.24874100,0.12948526,0.03999990,0.02088619
Tennessee,6,Midwest,1.00000000,0.74111177,0.23352488,0.03885916,0.02275075,0.01074726
Nebraska,4,South,1.00000000,1.00000000,0.15420880,0.08148918,0.01987495,0.01037783
Virginia,3,Midwest,1.00000000,0.25888823,0.10806624,0.04068877,0.02308713,0.00774104
Texas Tech,5,Midwest,1.00000000,0.54943700,0.10177519,0.06979606,0.02719373,0.00503931
Alabama,4,Midwest,1.00000000,0.45056300,0.11198566,0.05590286,0.01170411,0.00489088
UCLA,7,East,1.00000000,0.36703122,0.12455994,0.02437171,0.00617219,0.00485512
Texas/NC State,11,West,1.00000000,1.00000000,0.25297309,0.18653391,0.04303501,0.00339214
Iowa,9,South,1.00000000,0.35146313,0.29450338,0.12515387,0.05100934,0.00307776
Utah State,9,West,1.00000000,0.15197242,0.10527903,0.04546312,0.02420908,0.00150676
Akron,12,Midwest,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
BYU,6,West,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Cal Baptist,13,East,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Clemson,8,South,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Furman,15,East,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Georgia,8,Midwest,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Gonzaga,3,West,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Hawai'i,13,West,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
